Source,Target,Weight,Type
2007_0616257,2022_0825992,2,undirected
2007_0616257,2022_0831470,1,undirected
2007_0618425,2006_0608782,2,undirected
2007_0618425,2008_0635124,3,undirected
2007_0618425,2010_0654778,2,undirected
2007_0618425,2010_0657762,2,undirected
2007_0618425,2010_0662860,1,undirected
2007_0618425,2011_0675808_A1,2,undirected
2007_0618425,2014_0722160,2,undirected
2007_0618425,2014_0722256,4,undirected
2007_0618425,2015_0729792,1,undirected
2007_0618425,2015_0737594,2,undirected
2007_0618425,2016_0745178,2,undirected
2007_0618425,2017_0755175,3,undirected
2007_0618425,2018_0777460,2,undirected
2007_0618425,2021_0811124,6,undirected
2007_0618425,2021_0819811,1,undirected
2007_0619316,2009_0719783,2,undirected
2007_0619316,2009_0725149,3,undirected
2007_0619316,2011_0674722_A1,3,undirected
2007_0619316,2011_0721829,1,undirected
2007_0619316,2022_0823199,4,undirected
2007_0619463,2011_0722431,2,undirected
2007_0619463,2015_0733028,1,undirected
2007_0619463,2017_0766916,2,undirected
2007_0619463,2018_0771902,3,undirected
2007_0621235,2008_0638042,4,undirected
2007_0621235,2008_0638784,6,undirected
2007_0621235,2009_0645539,2,undirected
2007_0621235,2017_0768151,2,undirected
2007_0621272,2006_0603306,1,undirected
2007_0621272,2008_0719090,2,undirected
2007_0621272,2009_0725149,3,undirected
2007_0621272,2012_0723724,3,undirected
2007_0621272,2016_0743828,2,undirected
2007_0621272,2017_0760468,1,undirected
2007_0621272,2017_0766160,2,undirected
2007_0621272,2017_0768151,3,undirected
2007_0621526,2006_0608990,5,undirected
2007_0621526,2008_0635587,3,undirected
2007_0621526,2021_0812367,1,undirected
2007_0622595,2009_0719783,1,undirected
2007_0622595,2009_0721514,2,undirected
2007_0622595,2010_0725150,1,undirected
2007_0622595,2011_0723240,1,undirected
2007_0622595,2014_0723622,3,undirected
2007_0623397,2006_0610204,2,undirected
2007_0623397,2017_0760943,3,undirected
2007_0623397,2023_0849882,1,undirected
2007_0624813,2013_0689275,1,undirected
2007_0624813,2016_0741744,3,undirected
2007_0624813,2023_0849882,2,undirected
2007_0626143,2008_0636424,3,undirected
2007_0626143,2014_0723631,1,undirected
2007_0626143,2022_0830686,2,undirected
2007_0626526,2011_0680884_A1,1,undirected
2007_0626526,2020_0803057,3,undirected
2007_0626526,2023_0842479,2,undirected
2007_0628636,2008_0635667,2,undirected
2007_0628636,2009_0644352,1,undirected
2007_0628636,2010_0655349,2,undirected
2007_0628636,2011_0678343_A1,3,undirected
2007_0628636,2014_0707750,3,undirected
2007_0628636,2016_0745000,2,undirected
2007_0628636,2018_0783354,2,undirected
2007_0628636,2019_0795604,6,undirected
2007_0628636,2021_0811461,4,undirected
2007_0628636,2022_0830686,2,undirected
2007_0628636,2022_0831983,2,undirected
2008_0627762,2006_0610204,1,undirected
2008_0627762,2014_0723628,2,undirected
2008_0627762,2020_0806040,1,undirected
2008_0627762,2021_0809997,3,undirected
2008_0627962,2007_0615202,1,undirected
2008_0627962,2010_0658130,6,undirected
2008_0627962,2010_0665553,1,undirected
2008_0627962,2012_0723724,1,undirected
2008_0627962,2014_0708926,2,undirected
2008_0627962,2016_0752780,2,undirected
2008_0627962,2017_0755721,1,undirected
2008_0627962,2019_0797166,2,undirected
2008_0627962,2021_0809309,1,undirected
2008_0627962,2021_0812794,2,undirected
2008_0627962,2022_0821775,1,undirected
2008_0627962,2022_0831470,2,undirected
2008_0628716,2007_0615389,2,undirected
2008_0628716,2010_0669183_A1,2,undirected
2008_0628716,2011_0668451_A1,1,undirected
2008_0628716,2012_0701956,1,undirected
2008_0628716,2014_0717457,1,undirected
2008_0628716,2021_0820685,1,undirected
2008_0628716,2022_0831470,4,undirected
2008_0628716,2023_0848268,3,undirected
2008_0628716,2023_0849461,3,undirected
2008_0629932,2008_0635587,4,undirected
2008_0629932,2015_0733028,1,undirected
2008_0629932,2017_0760943,2,undirected
2008_0629932,2019_0791321,2,undirected
2008_0630836,2015_0738980,3,undirected
2008_0630836,2019_0791321,1,undirected
2008_0630836,2021_0812367,2,undirected
2008_0632795,2016_0750760,3,undirected
2008_0632795,2022_0828496,2,undirected
2008_0632795,2022_0831982,1,undirected
2008_0632916,2006_0608782,2,undirected
2008_0632916,2006_0609028,3,undirected
2008_0632916,2019_0788753,1,undirected
2008_0635124,2007_0618425,3,undirected
2008_0635124,2022_0823755,1,undirected
2008_0635124,2023_0842897,2,undirected
2008_0635587,2007_0621526,3,undirected
2008_0635587,2008_0629932,4,undirected
2008_0635587,2015_0733028,2,undirected
2008_0635587,2015_0738980,6,undirected
2008_0635667,2007_0628636,2,undirected
2008_0635667,2010_0658130,3,undirected
2008_0635667,2023_0844412,1,undirected
2008_0636424,2006_0604700,1,undirected
2008_0636424,2006_0605308,2,undirected
2008_0636424,2007_0626143,3,undirected
2008_0636424,2009_0644352,2,undirected
2008_0636424,2009_0649805,3,undirected
2008_0636424,2013_0690270,6,undirected
2008_0636424,2015_0729113,2,undirected
2008_0636424,2015_0738360,3,undirected
2008_0636424,2016_0745369,2,undirected
2008_0636424,2016_0752018,2,undirected
2008_0636424,2019_0788573,1,undirected
2008_0636424,2019_0788633,1,undirected
2008_0636424,2021_0813136,3,undirected
2008_0636424,2022_0821775,2,undirected
2008_0638042,2007_0621235,4,undirected
2008_0638042,2011_0674294_A1,2,undirected
2008_0638042,2011_0674372_A1,1,undirected
2008_0638042,2015_0729496,1,undirected
2008_0638042,2017_0760943,1,undirected
2008_0638042,2018_0780757,2,undirected
2008_0638042,2019_0795030,2,undirected
2008_0638042,2023_0834137,2,undirected
2008_0638048,2011_0680884_A1,3,undirected
2008_0638048,2011_0721877,1,undirected
2008_0638048,2012_0702670,2,undirected
2008_0638784,2007_0621235,6,undirected
2008_0638784,2011_0722431,2,undirected
2008_0638784,2017_0759734,2,undirected
2008_0719090,2006_0603306,5,undirected
2008_0719090,2007_0621272,2,undirected
2008_0719090,2011_0721831,3,undirected
2008_0719090,2012_0681675,1,undirected
2008_0719090,2013_0723719,3,undirected
2008_0719090,2014_0723682,6,undirected
2008_0719090,2014_0723775,1,undirected
2008_0719090,2023_0840793,4,undirected
2008_0719552,2006_0606395,3,undirected
2008_0719552,2011_0721875,6,undirected
2008_0719552,2014_0723622,1,undirected
2009_0638953,2007_0615389,1,undirected
2009_0638953,2011_0677018_A1,3,undirected
2009_0638953,2012_0697321,3,undirected
2009_0638953,2013_0688135,3,undirected
2009_0638953,2013_0691810,1,undirected
2009_0638953,2016_0743094,3,undirected
2009_0638953,2016_0744652,3,undirected
2009_0638953,2017_0756438,1,undirected
2009_0638953,2018_0772044,3,undirected
2009_0638953,2022_0828496,2,undirected
2009_0638953,2022_0830828,1,undirected
2009_0638953,2022_0831470,3,undirected
2009_0641033,2006_0612272,2,undirected
2009_0641033,2009_0646356,3,undirected
2009_0641033,2012_0702399,1,undirected
2009_0641033,2016_0741744,1,undirected
2009_0641033,2017_0760943,2,undirected
2009_0641033,2018_0782945,2,undirected
2009_0641033,2020_0802619,6,undirected
2009_0641033,2023_0834775,4,undirected
2009_0641033,2023_0847028,2,undirected
2009_0641393,2011_0721876,6,undirected
2009_0641393,2013_0696088,2,undirected
2009_0641393,2013_0703934,1,undirected
2009_0641841,2013_0693987,1,undirected
2009_0641841,2018_0783844,3,undirected
2009_0641841,2022_0831982,2,undirected
2009_0642509,2011_0675656_A1,6,undirected
2009_0642509,2011_0678307_A1,3,undirected
2009_0642509,2012_0687383,1,undirected
2009_0642509,2013_0689275,4,undirected
2009_0642509,2013_0694570,3,undirected
2009_0642509,2014_0714271,2,undirected
2009_0642509,2015_0727527,3,undirected
2009_0642509,2015_0734672,1,undirected
2009_0642509,2016_0753223,3,undirected
2009_0642509,2019_0795031,3,undirected
2009_0643199,2009_0645539,3,undirected
2009_0643199,2013_0703374,3,undirected
2009_0643199,2016_0741744,2,undirected
2009_0643199,2016_0750760,3,undirected
2009_0643199,2017_0756438,2,undirected
2009_0643199,2019_0787655,1,undirected
2009_0643887,2017_0759636,2,undirected
2009_0643887,2017_0766419,3,undirected
2009_0643887,2019_0787655,1,undirected
2009_0644116,2010_0657628,3,undirected
2009_0644116,2010_0663681,1,undirected
2009_0644116,2012_0702673,1,undirected
2009_0644116,2014_0717058,1,undirected
2009_0644116,2021_0806629,3,undirected
2009_0644116,2021_0810916,6,undirected
2009_0644352,2006_0604700,3,undirected
2009_0644352,2007_0628636,1,undirected
2009_0644352,2008_0636424,2,undirected
2009_0644352,2013_0700961,1,undirected
2009_0644352,2014_0714046,4,undirected
2009_0644523,2011_0722431,3,undirected
2009_0644523,2012_0678191_A1,4,undirected
2009_0644523,2016_0751977,2,undirected
2009_0644523,2022_0829243,1,undirected
2009_0645539,2007_0621235,2,undirected
2009_0645539,2009_0643199,3,undirected
